target,uniprot,n,mean_nll_winner,mean_nll_naive,mean_nll_random,AUROC_winner_vs_random,AUROC_winner_vs_naive
FGF9,P31371,400,1.0164326429367065,1.50368070602417,1.5098865032196045,0.97103125,0.96748125
IL1RL1,P14719,400,1.0219281911849976,1.4445399045944214,1.4489976167678833,0.95978125,0.95598125
PARP1,P09874,400,1.120819330215454,1.375280737876892,1.4041754007339478,0.89496875,0.813925
MECP2,P51608,400,0.6568697094917297,1.392514705657959,1.4564425945281982,0.96138125,0.92408125
SNCA,P37840,400,1.1404047012329102,1.4660327434539795,1.490767478942871,0.906775,0.89229375
