target,uniprot,n,mean_nll_winner,mean_nll_naive,mean_nll_random,AUROC_winner_vs_random,AUROC_winner_vs_naive
FGF9,P31371,400,1.6334515810012817,1.6443508863449097,1.6579818725585938,0.604675,0.544775
IL1RL1,Q01638,400,1.654191017150879,1.6388497352600098,1.6606942415237427,0.50815,0.4293875
PARP1,P09874,400,1.639123797416687,1.6543328762054443,1.6416109800338745,0.51034375,0.57374375
MECP2,P51608,400,1.6339455842971802,1.659683346748352,1.627815842628479,0.4780125,0.62961875
SNCA,P37840,400,1.6671234369277954,1.643437385559082,1.6560935974121094,0.4520625,0.398625
