target,uniprot,n,mean_nll_winner,mean_nll_naive,mean_nll_random,AUROC_winner_vs_random,AUROC_winner_vs_naive
FGF9,P31371,400,1.4155727624893188,1.4407306909561157,1.4408191442489624,0.60230625,0.5938375
IL1RL1,Q01638,400,1.4622585773468018,1.4396251440048218,1.4545657634735107,0.46664375,0.40669375
PARP1,P09874,400,1.4320189952850342,1.467634677886963,1.4416687488555908,0.5455375,0.64976875
MECP2,P51608,400,1.4143444299697876,1.4720306396484375,1.4216641187667847,0.53215625,0.73573125
SNCA,P37840,400,1.467790126800537,1.4410710334777832,1.4584455490112305,0.460375,0.3812
